supplier,source_url,scraped_at,product
Drainage Central,https://www.drainagecentral.co.uk/4-Inch-(100mm)-Round-Cast-Iron-Downpipe-Bracket-with-Gasket-1,2026-06-10T18:58:17.758397,"{'name': '4 Inch (100mm) Round Cast Iron Downpipe Bracket with Gasket ', 'description': '100mm (4 Inch) Cast Iron Downpipe Bracket with Gasket\r\n\r\nBritannia Circular Cast Iron Rainwater Downpipe Clips are available in a Transit Primer or Painted Finish\r\n\r\nPlease note  - All Cast Iron gutters and fittings are specially ordered and are non-returnable.\r\n\r\nManufacturer: ARP\r\nProduct Code: BI/P40/PB/GB\r\n\r\nReturn to product list', 'brand': 'Britania25', 'mpn': 'BI/P40/PB/GB25', 'gtin13': '', 'sku': 'BI/P40/PB/GB', 'image_urls': ['https://www.drainagecentral.co.uk/Graphics/Std_Product_Images/Round_Cast_Iron_Downpipe_Clip_Holderbat_Painted_Drainage_Central11.jpg'], 'offer_url': 'https://www.drainagecentral.co.uk/4-Inch-(100mm)-Round-Cast-Iron-Downpipe-Bracket-with-Gasket-1', 'price': '19.55', 'currency': 'GBP', 'availability': 'https://schema.org/InStock', 'price_valid_until': '2027-06-10'}"
Drainage Central,https://www.drainagecentral.co.uk/-2-5-Inch-(65mm)-Round-Cast-Iron-Downpipe-Bracket-with-Gasket--1,2026-06-10T18:58:19.305485,"{'name': ' 2.5 Inch (65mm) Round Cast Iron Downpipe Bracket with Gasket ', 'description': '65mm (2,5 Inch) Cast Iron Downpipe Bracket with Gasket\r\n\r\nBritannia Circular Cast Iron Rainwater Downpipe Clips are available in a Transit Primer or Painted Finish\r\n\r\nPlease note  - All Cast Iron gutters and fittings are specially ordered and are non-returnable.\r\n\r\nManufacturer: ARP\r\nProduct Code: BI/P25/PB/GB\r\n\r\nReturn to product list', 'brand': 'Britania25', 'mpn': 'BI/P25/PB/GB25', 'gtin13': '', 'sku': 'BI/P25/PB/GB', 'image_urls': ['https://www.drainagecentral.co.uk/Graphics/Std_Product_Images/Round_Cast_Iron_Downpipe_Clip_Holderbat_Painted_Drainage_Central11.jpg'], 'offer_url': 'https://www.drainagecentral.co.uk/-2-5-Inch-(65mm)-Round-Cast-Iron-Downpipe-Bracket-with-Gasket--1', 'price': '19.12', 'currency': 'GBP', 'availability': 'https://schema.org/InStock', 'price_valid_until': '2027-06-10'}"
Drainage Central,https://www.drainagecentral.co.uk/3-Inch-(75mm)-Round-Cast-Iron-Downpipe-Bracket-with-Gasket-1,2026-06-10T18:58:20.537427,"{'name': ' 3 Inch (75mm) Round Cast Iron Downpipe Bracket with Gasket ', 'description': '75mm (3 Inch) Cast Iron Downpipe Bracket with Gasket\r\n\r\nBritannia Circular Cast Iron Rainwater Downpipe Clips are available in a Transit Primer or Painted Finish\r\n\r\nPlease note  - All Cast Iron gutters and fittings are specially ordered and are non-returnable.\r\n\r\nManufacturer: ARP\r\nProduct Code: BI/P30/PB/GB\r\n\r\nReturn to product list', 'brand': 'Britania', 'mpn': 'BI/P30/PB/GB', 'gtin13': '', 'sku': 'BI/P30/PB/GB', 'image_urls': ['https://www.drainagecentral.co.uk/Graphics/Std_Product_Images/Round_Cast_Iron_Downpipe_Clip_Holderbat_Painted_Drainage_Central11.jpg'], 'offer_url': 'https://www.drainagecentral.co.uk/3-Inch-(75mm)-Round-Cast-Iron-Downpipe-Bracket-with-Gasket-1', 'price': '19.12', 'currency': 'GBP', 'availability': 'https://schema.org/InStock', 'price_valid_until': '2027-06-10'}"
Drainage Central,https://www.drainagecentral.co.uk/Flexseal-250mm-265mm-Drainage-Coupling-DC265-1,2026-06-10T18:58:20.744428,"{'name': 'Fernco Flexseal 250mm-265mm Drainage Coupling DC265', 'description': 'Fernco, previously known as Flexseal 250mm-265mm Drainage Coupling DC265\r\n\r\n\r\n\tDesigned for drain construction where resistance to earth loadings normally provided by Standard Couplings is not required\r\n\tLow cost solution to damaged drainage systems\r\n\tEasy to install\r\n\tEfficient, airtight and watertight connection\r\n\tFernco Drainage Coupling Data Sheet\r\n\r\n\r\nManufacturer: Fernco\r\nProduct Code: DC265\r\n\r\nReturn to product list', 'brand': 'Flex Seal', 'mpn': 'DC265', 'gtin13': '5031485100157', 'sku': 'DC265', 'image_urls': ['https://www.drainagecentral.co.uk/Graphics/Std_Product_Images/Flexseal_Drainage_Coupling_DC250_Drainage_Central11.jpg'], 'offer_url': 'https://www.drainagecentral.co.uk/Flexseal-250mm-265mm-Drainage-Coupling-DC265-1', 'price': '47.76', 'currency': 'GBP', 'availability': 'https://schema.org/InStock', 'price_valid_until': '2027-06-10'}"
Drainage Central,https://www.drainagecentral.co.uk/ExtraFix-Metal-Peg-200mm---100-Pack,2026-06-10T18:58:22.228515,"{'name': 'ExtraFix Metal Peg 200mm - 100 Pack', 'description': 'ExtraFix Metal Peg 200mm - 100 Pack\n&nbsp;\n\nA 200mm long metal peg providing extra length for a deeper fixing. Ideal for securing weed control and geotextile fabrics to slopes. Available in packs of 100. \n\n\nManufacturer: Growtivation\n\nProduct Code: GMP1\n\nReturn to product list\n&nbsp;', 'brand': 'ExtraFix', 'mpn': 'GMP1', 'gtin13': '', 'sku': 'GMP1', 'image_urls': ['https://www.drainagecentral.co.uk/DrainageCentral/growtivation/extrafix/growtation-extrafix-gmp1-1ds.jpg'], 'offer_url': 'https://www.drainagecentral.co.uk/ExtraFix-Metal-Peg-200mm---100-Pack', 'price': '36.94', 'currency': 'GBP', 'availability': 'https://schema.org/InStock', 'price_valid_until': '2027-06-10'}"
Drainage Central,https://www.drainagecentral.co.uk/ExtraFix-Metal-Staple-150-x-100mm---100-Pack,2026-06-10T18:58:22.924252,"{'name': 'ExtraFix Metal Staple 150 x 100mm - 100 Pack', 'description': 'ExtraFix Metal Staple 150 x 100mm - 100 Pack\n&nbsp;\n\nA 150mm long by 100mm wide metal staple for a heavier duty fixing. These metal staples can easily be hammered into most soil substrates. Available in packs of 100. \n\n\nManufacturer: Growtivation\n\nProduct Code: GMS1\n\nReturn to product list\n&nbsp;', 'brand': 'ExtraFix', 'mpn': 'GMS1', 'gtin13': '', 'sku': 'GMS1', 'image_urls': ['https://www.drainagecentral.co.uk/DrainageCentral/growtivation/extrafix/growtation-extrafix-gms1-1ds.jpg'], 'offer_url': 'https://www.drainagecentral.co.uk/ExtraFix-Metal-Staple-150-x-100mm---100-Pack', 'price': '50.20', 'currency': 'GBP', 'availability': 'https://schema.org/InStock', 'price_valid_until': '2027-06-10'}"
Drainage Central,https://www.drainagecentral.co.uk/ExtraFix-Plastic-Peg-160mm,2026-06-10T18:58:23.806347,"{'name': 'ExtraFix Plastic Peg 160mm', 'description': 'ExtraFix Plastic Peg 160mm\r\n&nbsp;\r\n\r\nThese Plastic Pegs for Geotextile Fabric Available in packs of 10, 100 and 1000, are a simple and convenient way to secure all types of weed control and geotextile fabrics.\r\n\r\nThese plastic fixing pegs are 160mm long with barbed edges and a square head, providing a large contact area, greater grip and improved anchorage.\r\n\r\nManufacturer: Growtivation\r\n\r\nProduct Code: GPP0-(10 Pack) , GPP1-(100 Pack), GPP10-(1000 Pack).\r\n\r\nReturn to product list', 'brand': 'ExtraFix', 'mpn': 'GPP0', 'gtin13': '', 'sku': 'GPP0', 'image_urls': ['https://www.drainagecentral.co.uk/DrainageCentral/growtivation/extrafix/growtation-extrafix-gppo-2ds.jpg'], 'offer_url': 'https://www.drainagecentral.co.uk/ExtraFix-Plastic-Peg-160mm', 'price': '3.71', 'currency': 'GBP', 'availability': 'https://schema.org/InStock', 'price_valid_until': '2027-06-10'}"
Drainage Central,https://www.drainagecentral.co.uk/DrainTex-Non-Woven-Geotextile-Fabric,2026-06-10T18:58:25.533185,"{'name': 'DrainTex Non-Woven Geotextile Fabric', 'description': 'DrainTex Geotextile Membrane\r\n\r\nDraintex is a standard duty, non-woven drainage geotextile fabric with excellent drainage and filtration properties and is avaiable in 1m x 10m, 2m x 50m, 2m x 25m, 4.5m x 11.1m and 4.5m x 100m.\r\n\r\nThis drainage geo-textile fabric has a stable but open structure making it ideal for lining trenches when constructing land (French) drains.\r\n\r\nDraintex acts as a filter membrane, separating the aggregate from the soil, thus preventing the aggregate from mixing with the soil and reducing the efficiency and capacity of the drain.\r\n\r\nDrainTex is also used for wrapping soakaway and water attenuation crates in both small domestic and large commercial projects. The high permeability of the fabric means water can percolate through whilst preventing the soakaway becoming &lsquo;silted&rsquo; up.\r\n\r\nDrainTex can be used as a ground stabilisation membrane beneath MOT Type 1 or 3 aggregate or hardcore to form a stable base in many hard landscaping and civil engineering applications.\r\n\r\nAppliations\r\n\r\n\r\n\tFrench/Land Drains\r\n\tWrapping Soakaway Crates\r\n\tDriveway Subase\r\n\r\n\r\nProduct Sizes\r\n\r\n\r\n\t\r\n\t\t\r\n\t\t\tCode\r\n\t\t\tProduct\r\n\t\t\tWidth\r\n\t\t\tLength\r\n\t\t\tArea\r\n\t\t\r\n\t\t\r\n\t\t\tDRA10\r\n\t\t\tMini Roll\r\n\t\t\tNarrow width, ideal for paths\r\n\t\t\t1.0m\r\n\t\t\t10m\r\n\t\t\t10m2\r\n\t\t\r\n\t\t\r\n\t\t\tDRA25\r\n\t\t\tMidi Roll\r\n\t\t\tFor medium size projects\r\n\t\t\t2.0m\r\n\t\t\t25m\r\n\t\t\t50m2\r\n\t\t\r\n\t\t\r\n\t\t\tDRA225\r\n\t\t\t2.0m\r\n\t\t\t50m\r\n\t\t\t100m2\r\n\t\t\r\n\t\t\r\n\t\t\tDRA45\r\n\t\t\tContractor Pack\r\n\t\t\tWide width, ideal for patios or driveways\r\n\t\t\t4.5m\r\n\t\t\t11.1m\r\n\t\t\t50m2\r\n\t\t\r\n\t\t\r\n\t\t\tDRA450\r\n\t\t\tContractor Roll\r\n\t\t\t4.5m\r\n\t\t\t100m\r\n\t\t\t450m2\r\n\t\t\r\n\t\r\n\r\n\r\nManufacturer: Growtivation\r\n\r\nProduct Code: DRA10-(1m x 10m), DRA225-(2m X 50m), DRA25-(2m x 25m),DRA45-(4.5m x 11.1m), DRA450-(4.5m x 100m)\r\n\r\nReturn to product list\r\n&nbsp;', 'brand': 'Draintex', 'mpn': 'DRA', 'gtin13': '', 'sku': 'DRA', 'image_urls': ['https://www.drainagecentral.co.uk/DrainageCentral/growtivation/draintex/drainage-central-draintex-dra10.jpg'], 'offer_url': 'https://www.drainagecentral.co.uk/DrainTex-Non-Woven-Geotextile-Fabric', 'price': '20.24', 'currency': 'GBP', 'availability': 'https://schema.org/InStock', 'price_valid_until': '2027-06-10'}"
Drainage Central,https://www.drainagecentral.co.uk/150mm-Heritage-Timesaver-Cast-Iron-Soil-Pipe-Eared-Slip-Coupling,2026-06-10T18:58:26.572434,"{'name': '150mm Heritage Timesaver Cast Iron Soil Pipe Eared Slip Coupling', 'description': '150mm Heritage Timesaver Cast Iron Soil Pipe Eared Slip Coupling\n&nbsp;\n\nSaint-Gobain PAM UK Cast Iron Timesaver Soil Pipe System is Available in a range of pipe diameters with an exstensive range of fittings and to suit any project.\n\nSaint-Gobain PAM UK are market leaders in the supply of Cast iron soil, drainage and rainwater systems.\n\nBenefits of Cast Iron\n\n\n\tNon-combustible fire rated A1\n\tExcellent acoustic properties\n\tMinimal expansion\n\tStrong and robust\n\tExcellent environmental properties\n\tMade from up to 99% recycled content\n\t100% recyclable\n\tLong life span\n\n\nTimesaver Soil Coating\n\n\n\t3m Pipes Internally lined with an ochre two-part epoxy coating\n\tExternally coated in a black acrylic paint.\n\tFittings and couplings, Internally and externally coated in a black waterbased paint\n\tThe Timesaver coating shall accept over-coating (Overpainting) with alkyd and water based paints normally used on metallic structures\n\nThe Cast Iron Soil Pipe Timesaver range include heritage push-fit couplings that turns a mechanical pipe system into a system with the traditional cast iron appearance.\n\nThe Timesaver Heritage couplings have been accepted by recognised bodies for all grade listed properties ie. National Heritage, English Heritage etc. Its primer black coating makes it easy to overpaint for external soil stacks, and is the perfect solution for listed buildings and those situated in areas of conservation.\n\nPrestigious commercial buildings built in the 1970&rsquo;s to the mid 90&rsquo;s which are serviced by cast iron soil stacks, will most likely be Timesaver. If the building is to be refurbished and changes are required, the latest Timesaver range is best suited to connect to the original pipework.\n\nPlease Note: Timesaver soil fittings were traditionally supplied with a raised bead on the spigot ends, which over the years have been removed. The Heritage couplings can only be used on fittings without the bead.\n\nManufacturer: Saint-Gobain PAM UK\n\nProduct Code: 266538\n\nReturn to product list\n&amp;nbsp', 'brand': 'Heritage Timesaver Soil', 'mpn': '266538', 'gtin13': '266538', 'sku': '266538', 'image_urls': ['https://www.drainagecentral.co.uk/DrainageCentral/pamsaintgobain/timesaversoil/cast-iron-timesaver-gt05s-hertiage-slip-coupling'], 'offer_url': 'https://www.drainagecentral.co.uk/150mm-Heritage-Timesaver-Cast-Iron-Soil-Pipe-Eared-Slip-Coupling', 'price': '99.16', 'currency': 'GBP', 'availability': 'https://schema.org/InStock', 'price_valid_until': '2027-06-10'}"
Drainage Central,https://www.drainagecentral.co.uk/Flexseal-85mm-100mm-Drainage-Coupling-DC100-1,2026-06-10T18:58:27.313113,"{'name': 'Fernco Flexseal 85mm-100mm Drainage Coupling DC100', 'description': 'Fernco, previously known as Flexseal 85mm-100mm Drainage Coupling DC100\r\n\r\n\r\n\tDesigned for drain construction where resistance to earth loadings normally provided by Standard Couplings is not required\r\n\tLow cost solution to damaged drainage systems\r\n\tEasy to install\r\n\tEfficient, airtight and watertight connection\r\n\tFernco Drainage Coupling Data Sheet\r\n\r\n\r\nManufacturer: Fernco\r\nProduct Code: DC100\r\n\r\nReturn to product list', 'brand': 'Flex Seal', 'mpn': 'DC100', 'gtin13': '5031485100218', 'sku': 'DC100', 'image_urls': ['https://www.drainagecentral.co.uk/Graphics/Std_Product_Images/Flexseal_Drainage_Coupling_DC95_Drainage_Central11.jpg'], 'offer_url': 'https://www.drainagecentral.co.uk/Flexseal-85mm-100mm-Drainage-Coupling-DC100-1', 'price': '17.99', 'currency': 'GBP', 'availability': 'https://schema.org/InStock', 'price_valid_until': '2027-06-10'}"
