A,A1,AB,AB1,AB2,AD,AD1,Access width,Aim,ArticleCode,A²,B,B1,B2,B3,B4,B5,Battery capacity,Battery charge time,Blade,Cabinet width,Colour / surface,Compatibility,Connection,Content,Cut-out,D,D1,DN,DN1,DNV,Discharge rate,Door,Drain,E,E1,Fastening,Fastening points,G,G1,Gl,Glass thickness,Glass thickness door,Gs,H,H1,H2,H3,Hinge material,IK,ImageURL,Inlet,Insulation,K,K1 max.,K2 max.,K3 max.,L,L1,L2,L3,La,Luminous flux,Luminous flux (max. / above / below),"Luminous flux, above","Luminous flux, below","Luminous flux, indirect",M,Main element weight,Mix & Match,Mixer,Model,NPT,Nominal width,Number of outlets,Number of power sockets,Outlet,Overflow,PN,PageURL,Plug type,Power consumption,Power consumption of mirror heating,Power socket,Product material,Protection class,Quick-release hinges,R,R1,RMF,RMF1,Rg,Rp,Rp1,RpMF,RpMF1,S,SW,Sanitary module,Sealing of connection,Shelf space,Soft-closing mechanism,Specification number,Straight connector,T,T1,T2,T3,T4,T5,T6,Tap hole,Tip,Title,Total water capacity,Towel rail,Trap cutout,Washbasin width,With overflow hole,X,X1,X2,X3,X4,X5,X6,Z,Z1,Z2,Z3,Z4,Z5,Z6,a,a1,arc,arc2,b,c,"d, ø","d1, ø","d2, ø","d3, ø","da, ø","di, ø","di1, ø",h,h1,h2,k,l,l1,l2,m,n,r,s,s1
,,,,,,,,,359.886.00.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/57/64/DAS_2755764_20220831_103319.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_2155137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit welding plate holder for KSS-160 / KSS-200 welding plate | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,30414,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,7 cm,84 cm,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/45/44/DAS_374544_20170925_145248.jpg",,,1.5 cm,70 cm,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_301592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Mapress Stainless Steel bend 90°, long | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,,,90 °,,,,22 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,30415,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,8 cm,85 cm,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/45/44/DAS_374544_20170925_145248.jpg",,,1.7 cm,77 cm,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_301592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Mapress Stainless Steel bend 90°, long | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,,,90 °,,,,28 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,358.061.00.1,,,,,,,,,,,,,,,,,,,90–200,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/42/19/DAS_1504219_20200831_095500.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_1470743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit Pluvia support set | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,90–200 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,620.680.00.1,,,,,,,,,,,,,,,,,,,12 / 10,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/64/16/DAS_1756416_20200313_105452.jpg",,,,,,,5.8 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_895451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit FlowFit adaptor union with clamping ring | Geberit product catalogue,,,,,,,,,,,,,0.8 cm,,,,,,,,,,,,,16 mm,12 mm,,,,,,,,,,1.7 cm,,,,,,,
,,,,,,,,,620.681.00.1,,,,,,,,,,,,,,,,,,,15 / 12,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/64/16/DAS_1756416_20200313_105452.jpg",,,,,,,6 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_895451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit FlowFit adaptor union with clamping ring | Geberit product catalogue,,,,,,,,,,,,,1.1 cm,,,,,,,,,,,,,20 mm,15 mm,,,,,,,,,,1.6 cm,,,,,,,
,,,,,,,,,620.683.00.1,,,,,,,,,,,,,,,,,,,12 / 10,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/64/16/DAS_1756416_20200313_105452.jpg",,,,,,,5.8 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_895451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit FlowFit adaptor union with clamping ring | Geberit product catalogue,,,,,,,,,,,,,0.8 cm,,,,,,,,,,,,,16 mm,14 mm,,,,,,,,,,1.7 cm,,,,,,,
,,,,,,,,,620.684.00.1,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/64/16/DAS_1756416_20200313_105452.jpg",,,,,,,6 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_895451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit FlowFit adaptor union with clamping ring | Geberit product catalogue,,,,,,,,,,,,,1.1 cm,,,,,,,,,,,,,20 mm,18 mm,,,,,,,,,,1.6 cm,,,,,,,
,,,,,,,,,620.690.00.1,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/64/16/DAS_1756416_20200313_105452.jpg",,,,,,,5.8 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_895451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit FlowFit adaptor union with clamping ring | Geberit product catalogue,,,,,,,,,,,,,0.9 cm,,,,,,,,,,,,,16 mm,15 mm,,,,,,,,,,1.6 cm,,,,,,,
,,,,,,,,,620.691.00.1,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/64/16/DAS_1756416_20200313_105452.jpg",,,,,,,5.8 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_895451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit FlowFit adaptor union with clamping ring | Geberit product catalogue,,,,,,,,,,,,,0.9 cm,,,,,,,,,,,,,16 mm,16 mm,,,,,,,,,,1.6 cm,,,,,,,
