URL,Product,ProductCode,PriceIncVAT,PriceExcVAT,SalesUnit,Manufacturer,SellingUnitDesc
https://www.grantandstone.co.uk/22mm-3mtr-chrome-plate-table-x-copper-tube-copcp22-3,22Mm 3Mtr Chrome Plate Table X Copper Tube,COPCP22/3,£38.16,£31.80,Sold by / EA,The Lawton Tube Co Ltd,Each
https://www.grantandstone.co.uk/3mtr-15mm-chrome-plate-table-x-copper-tube-copcp15-3,3Mtr 15Mm Chrome Plate Table X Copper Tube,COPCP15/3,£21.11,£17.59,Sold by / EA,The Lawton Tube Co Ltd,Each
https://www.grantandstone.co.uk/endfeed-15mm-x-1-2fi-swivel-straight-tap-connector-enf104-15x-5,Endfeed 15mm X 1/2Fi Swivel Straight Tap Connector,ENF104/15X.5,£2.21,£1.84,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/endfeed-15mm-x-1-2fi-swivel-bent-tap-connector-enf106-15x-5,Endfeed 15Mm X 1/2Fi Swivel Bent Tap Connector,ENF106/15X.5,£1.45,£1.21,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/15mm-pipe-collar-white-cps15mmc-clip,15Mm Pipe Collar White,CPS15MMC/CLIP,£0.96,£0.80,Sold by / EA,TALON MANUFACTURING LTD,Each
https://www.grantandstone.co.uk/1-2in-x-1-2in-double-ended-flexi-tap-connector-300mm-long-ftc-5-5-12w,1/2In X 1/2In Double Ended Flexi Tap Connector 300Mm Long,FTC.5/.5/12W,£6.78,£5.65,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/28mm-nail-in-pipe-clip-cps28mmn-clip,28Mm Nail In Pipe Clip,CPS28MMN/CLIP,£0.35,£0.29,Sold by / EA,TALON MANUFACTURING LTD,Each
https://www.grantandstone.co.uk/15mm-straight-flanged-tank-connector-compression-cfi321-15,15Mm Straight Flanged Tank Connector Compression,CFI321/15,£3.97,£3.31,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/10mm-x-10mtr-coil-plain-table-w-copper-tube-cop10-10-bare,10Mm X 10Mtr Coil Plain Table W Copper Tube,COP10/10/BARE,£33.83,£28.19,Sold by / EA,The Lawton Tube Co Ltd,Each
https://www.grantandstone.co.uk/25mtrs-10mm-copper-tube-table-w-minibore-cop10-25-bare,25Mtrs 10Mm Copper Tube Table W Minibore,COP10/25/BARE,£84.53,£70.44,Sold by / EA,The Lawton Tube Co Ltd,Each
https://www.grantandstone.co.uk/10mtr-coil-8mm-copper-tube-table-w-minibore-cop8-10-bare,10Mtr Coil 8Mm Copper Tube Table W Minibore,COP8/10/BARE,£24.65,£20.54,Sold by / EA,The Lawton Tube Co Ltd,Each
https://www.grantandstone.co.uk/10mm-nail-in-pipe-clip-cps10mmn-clip,10Mm Nail In Pipe Clip,CPS10MMN/CLIP,£0.12,£0.10,Sold by / EA,TALON MANUFACTURING LTD,Each
https://www.grantandstone.co.uk/22mm-nail-in-pipe-clip-cps22mmn-clip,22Mm Nail In Pipe Clip,CPS22MMN/CLIP,£0.26,£0.22,Sold by / EA,TALON MANUFACTURING LTD,Each
https://www.grantandstone.co.uk/22mm-double-hinge-clip-cps22mmd-clip,22Mm Double Hinge Clip,CPS22MMD/CLIP,£0.68,£0.57,Sold by / EA,TALON MANUFACTURING LTD,Each
https://www.grantandstone.co.uk/15mm-double-hinge-clip-cps15mmd-clip,15Mm Double Hinge Clip,CPS15MMD/CLIP,£0.76,£0.63,Sold by / EA,TALON MANUFACTURING LTD,Each
https://www.grantandstone.co.uk/22mm-equal-tee-compression-cfi601-22,22Mm Equal Tee Compression,CFI601/22,£6.35,£5.29,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/15mm-equal-tee-compression-cfi601-15,15mm Equal Tee Compression,CFI601/15,£3.73,£3.11,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/22mm-x-3-4fi-wall-plate-elbow-compression-cfi403w-22,22Mm X 3/4Fi Wall Plate Elbow Compression,CFI403W/22,£6.49,£5.41,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/15mm-x-1-2-fi-wall-plate-elbow-compression-cfi403w-15,15mm X 1/2 Fi Wall Plate Elbow Compression,CFI403W/15,£7.10,£5.92,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/28mm-equal-elbow-compression-cfi401-28,28Mm Equal Elbow Compression,CFI401/28,£7.86,£6.55,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/22mm-equal-elbow-compression-cfi401-22,22mm Equal Elbow Compression,CFI401/22,£5.20,£4.33,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/15mm-equal-elbow-compression-cfi401-15,15Mm Equal Elbow Compression,CFI401/15,£2.52,£2.10,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/28mm-x-22mm-reducing-straight-coupling-compression-cfi301-28x22,28mm X 22mm Reducing Straight Coupling Compression,CFI301/28X22,£7.80,£6.50,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/22mm-x-15mm-reducing-straight-coupling-compression-cfi301-22x15,22Mm X 15Mm Reducing Straight Coupling Compression,CFI301/22X15,£4.96,£4.13,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/22mm-x-1fi-elbow-compression-cfi403-22x1,22Mm X 1Fi Elbow Compression,CFI403/22X1,£5.18,£4.32,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/22mm-x-3-4fi-elbow-compression-cfi403-22x3-4,22Mm X 3/4Fi Elbow Compression,CFI403/22X3/4,£3.38,£2.82,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/15mm-x-1-2fi-elbow-compression-cfi403-15x1-2,15Mm X 1/2Fi Elbow Compression,CFI403/15X1/2,£3.35,£2.79,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/28mm-x-1-fi-straight-adaptor-compression-cfi303-28x1,28Mm X 1 Fi Straight Adaptor Compression,CFI303/28X1,£4.78,£3.98,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/22mm-x-1-fi-straight-adaptor-compression-cfi303-22x1,22mm X 1 Fi Straight Adaptor Compression,CFI303/22X1,£5.28,£4.40,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/22mm-x-3-4fi-straight-adaptor-compression-cfi303-22x3-4,22mm X 3/4Fi Straight Adaptor Compression,CFI303/22X3/4,£4.39,£3.66,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/15mm-x-3-4-fi-straight-adaptor-compression-cfi303-15x3-4,15Mm X 3/4 Fi Straight Adaptor Compression,CFI303/15X3/4,£3.82,£3.18,Sold by / EA,Embrass Peerless,Each
