PageURL,Name,Description,Material,ImageURL,Brand,Manufacturer,MPN,OfferURL,Price,Currency,Availability
https://materialsmarket.com/products/jb-kind-tigris-oak-internal-fd30-44-x-2040-x-726mm,JB Kind Tigris Oak Internal FD30 44x2040x726mm,"Tigris Oak Internal Fire Door offers fire protection without compromising on style, featuring a grooved panel design and varnish finish.",,"https://res.cloudinary.com/materials-market/image/upload/q_auto,f_auto/assets//product-images-final/JBK+OISI19+1.jpg",,,OISI726FD30,https://materialsmarket.com/products/jb-kind-tigris-oak-internal-fd30-44-x-2040-x-726mm,202.90,GBP,https://schema.org/InStock
https://materialsmarket.com/products/50mm-paper-jointing-tape-150m-roll,50mm Paper Jointing Tape (150m/Roll),"Paper Jointing Tape is used for reinforcing joints on ceilings and walls.

Its creased centre makes it easy to install whilst also being extremely durable.",,"https://res.cloudinary.com/materials-market/image/upload/q_auto,f_auto/assets//product-images-final/Paper+Jointing+Tape+-+Photo.jpg",,,,https://materialsmarket.com/products/50mm-paper-jointing-tape-150m-roll,9.00,GBP,https://schema.org/InStock
https://materialsmarket.com/products/75mm-rockwool-sp60-firestop-slab-2-6m2-pack,75mm Rockwool SP60 FireStop Slab (2.6m2/Pack),75mm Rockwool SP60 Firestop Slab is designed to form cavity fire stops within buildings. It is suitable for cavity widths between 50mm-400mm in both masonry and curtain wall constructions.,,"https://res.cloudinary.com/materials-market/image/upload/q_auto,f_auto/assets//product-images-final/Rockwool+SP+FireStop+Slab+-+Photo+(Resized+2).jpg",Rockwool,Rockwool,124829,https://materialsmarket.com/products/75mm-rockwool-sp60-firestop-slab-2-6m2-pack,298.48,GBP,https://schema.org/InStock
https://materialsmarket.com/products/evo-stik-contact-adhesive-250ml,Evo-Stik Contact Adhesive 250ml,"Evo-Stik Contact Adhesive 250ml is a high strength, multipurpose adhesive that bonds on contact with no need for clamping or support.",,"https://res.cloudinary.com/materials-market/image/upload/q_auto,f_auto/assets//product-images-final/Evo-Stik+Contact+Adhesive+250ml+-+Photo.jpg",Evo-Stik,Evo-Stik,348103,https://materialsmarket.com/products/evo-stik-contact-adhesive-250ml,17.82,GBP,https://schema.org/InStock
https://materialsmarket.com/products/metal-insulation-support-fixings-8-x-300mm-50-pack,Metal Insulation Support Fixings 8 x 300mm (50/Pack),"8 x 300mm Metal Insulation Supports are used for fastening insulation boards and membranes in walls and ceilings.

They are available in a variety of lengths.",,"https://res.cloudinary.com/materials-market/image/upload/q_auto,f_auto/assets//product-images-final/Metal+Insulation+Support+Fixings+-+Photo.jpg",,,,https://materialsmarket.com/products/metal-insulation-support-fixings-8-x-300mm-50-pack,31.33,GBP,https://schema.org/InStock
https://materialsmarket.com/products/12mm-mdf-board-standard-2440mm-x-1220mm,12mm MDF Board Standard 2440mm x 1220mm (8&#39; x 4&#39;),12mm MDF Board is a defect-free composite board that is used for a variety of applications within the construction industry.,,"https://res.cloudinary.com/materials-market/image/upload/q_auto,f_auto/assets//product-images-final/12mm+MDF+Board+Standard+-+Photo.jpg",,,,https://materialsmarket.com/products/12mm-mdf-board-standard-2440mm-x-1220mm,19.50,GBP,https://schema.org/InStock
https://materialsmarket.com/products/6-x-4-heavy-duty-golden-brown-treated-trellis-1-83m-x-1-22m,6&#39; x 4&#39; Heavy Duty Golden Brown Treated Trellis (1.83m x 1.22m),&lt;div&gt;6&#39; x 4&#39; Heavy Duty Brown Treated Trellis (1.83m x 1.22m) is the perfect solution for partitioning spaces or supporting climbing plants in tight areas.&lt;/div&gt;,,"https://res.cloudinary.com/materials-market/image/upload/q_auto,f_auto/assets//product-images-final/6+x+4+brown+treated+trellis+-+Photo.jpg",,,,https://materialsmarket.com/products/6-x-4-heavy-duty-golden-brown-treated-trellis-1-83m-x-1-22m,45.58,GBP,https://schema.org/InStock
https://materialsmarket.com/products/everbuild-b1-fire-rated-expanding-foam-gun-grade-750ml-box-of-12,Everbuild B1 Fire Rated Expanding Foam Gun Grade 750ml - Box of 12,"Firefoam B1 Gun Grade is a quick-setting fire rated, one part polyurethane foam that expands on application to yield up to 50 times the can contents.",,"https://res.cloudinary.com/materials-market/image/upload/q_auto,f_auto/assets//product-images-final/Everbuild+B1+Fire+Rated+Expanding+Foam+Gun+Grade+750ml+-+Box+of+12+-+Photo.jpg",Everbuild,Everbuild,B1FIREGUN,https://materialsmarket.com/products/everbuild-b1-fire-rated-expanding-foam-gun-grade-750ml-box-of-12,168.74,GBP,https://schema.org/InStock
https://materialsmarket.com/products/38mm-x-63mm-cls-studwork-timber-x-4-8m,38mm x 63mm CLS Studwork Timber C16 (3&quot; x 2&quot;) 4.8m,3x2 C16 CLS Studwork Timber (Canadian Lumber Standard Timber) 4.8m is used for internal wall studwork and partitioning.,,"https://res.cloudinary.com/materials-market/image/upload/q_auto,f_auto/assets//product-images-final/38mm+x+63mm+CLS+Studwork+Timber+C16+-+Photo.jpg",,,,https://materialsmarket.com/products/38mm-x-63mm-cls-studwork-timber-x-4-8m,6.56,GBP,https://schema.org/InStock
https://materialsmarket.com/products/arc-cavity-stop-sock-150mm-cavity-160mm-x-120mm-x-1200mm-15-pack,ARC Cavity Stop Sock 150mm Cavity 160mm x 120mm x 1200mm (15/Pack),150mm ARC Cavity Stop Sock helps prevent the propagation of smoke and flames in the cavity of exterior masonry walls.,Rock Mineral,"https://res.cloudinary.com/materials-market/image/upload/q_auto,f_auto/assets//product-images-final/ARC+Cavity+Stop+Sock+-+Photo.jpg",ARC,ARC,CSS150,https://materialsmarket.com/products/arc-cavity-stop-sock-150mm-cavity-160mm-x-120mm-x-1200mm-15-pack,114.38,GBP,https://schema.org/InStock
https://materialsmarket.com/products/75mm-x-100mm-sawn-treated-timber-c24-4-x-3-3-6m,75mm x 100mm Sawn Treated Timber C24 (4&quot; x 3&quot;) 3.6m,"75mm x 100mm Sawn Treated Timber C24 (4&quot; x 3&quot;) 3.6m is suitable for structural applications such as flooring, roofing, as well as timber framing and other general joinery applications.",,"https://res.cloudinary.com/materials-market/image/upload/q_auto,f_auto/assets//product-images-final/Sawn+Treated+Timber+C24+-+Photo.jpg",,,,https://materialsmarket.com/products/75mm-x-100mm-sawn-treated-timber-c24-4-x-3-3-6m,14.57,GBP,https://schema.org/InStock
https://materialsmarket.com/products/25mm-x-50mm-bs5534-graded-sawn-treated-roofing-batten-2-x-1-4-8m,25mm x 50mm BS5534 Graded Sawn Treated Roofing Batten (2&quot; x 1&quot;) 4.8m,25mm x 50mm 4.8m Sawn Treated Roofing Batten Graded BS5534 serves as the fixing point for materials. The battens are utilised as a spacing measure for shingles and tiles before they are affixed.,,"https://res.cloudinary.com/materials-market/image/upload/q_auto,f_auto/assets//product-images-final/Blue+roof+batten+1+-+Photo.jpg",,,,https://materialsmarket.com/products/25mm-x-50mm-bs5534-graded-sawn-treated-roofing-batten-2-x-1-4-8m,4.56,GBP,https://schema.org/InStock
https://materialsmarket.com/products/47mm-x-150mm-sawn-treated-timber-c24-6-x-2-4-8m,47mm x 150mm Sawn Treated Timber C24 (6&quot; x 2&quot;) 4.8m,"47mm x 150mm Sawn Treated Timber C24 (6&quot; x 2&quot;) 4.8m is suitable for structural applications such as flooring, roofing, as well as timber framing and other general joinery applications.",,"https://res.cloudinary.com/materials-market/image/upload/q_auto,f_auto/assets//product-images-final/47mm+x+150mm+Sawn+Treated+Timber+-+Photo+New+1.jpg",,,,https://materialsmarket.com/products/47mm-x-150mm-sawn-treated-timber-c24-6-x-2-4-8m,15.23,GBP,https://schema.org/InStock
https://materialsmarket.com/products/blue-circle-mastercrete-grey-cement-25kg-plastic-bag-pallet-of-60,Blue Circle Mastercrete Grey Cement 25kg (Plastic Bag) - Pallet of 60,"Blue Circle Mastercrete is an enhanced Portland-limestone cement conforming fully to BS EN 197-1 CEM II/A-L (or LL) 32,5R.",,"https://res.cloudinary.com/materials-market/image/upload/q_auto,f_auto/assets//product-images-final/Blue+Circle+Mastercrete+Grey+Cement+25kg+(Plastic+Bag)+-+Pallet+of+60+-+Photo+REVA.jpg",Blue Circle,Blue Circle,,https://materialsmarket.com/products/blue-circle-mastercrete-grey-cement-25kg-plastic-bag-pallet-of-60,484.27,GBP,https://schema.org/InStock
https://materialsmarket.com/products/6-smooth-concrete-gravel-board-50mm-x-150mm-x-1830mm,6&quot; Smooth Concrete Gravel Board 50mm x 150mm x 1830mm,6&quot; concrete gravel board with a smooth face. These boards are designed for use in fencing applications to prevent rot at the base of the fence panel.,,"https://res.cloudinary.com/materials-market/image/upload/q_auto,f_auto/assets//product-images-final/Smooth+Concrete+Gravel+Board+-+Photo.jpg",,,,https://materialsmarket.com/products/6-smooth-concrete-gravel-board-50mm-x-150mm-x-1830mm,16.16,GBP,https://schema.org/InStock
https://materialsmarket.com/products/everbuild-expanding-foam-gun-grade-750ml-box-of-12,Everbuild Expanding Foam Gun Grade 750ml - Box of 12,"Gun Grade Expanding Foam is a quick setting polyurethane-based foam which expands greatly on application and yields up to 50 times original can contents. It fills irregular gaps, fixes framework, insulates and sound deadens. Gun Grade Expanding Foam is designed for professional use in conjunction with Gun Foam Applicators.",,"https://res.cloudinary.com/materials-market/image/upload/q_auto,f_auto/assets//product-images-final/Everbuild+Expanding+Foam+Gun+Grade+750ml+-+Box+of+12+-+Photo.jpg",Everbuild,Everbuild,EVGF7,https://materialsmarket.com/products/everbuild-expanding-foam-gun-grade-750ml-box-of-12,107.95,GBP,https://schema.org/InStock
