offer_url,sku_from_meta,Variant,PriceIncVAT,Sku2
https://www.pipekit.co.uk/products/durapipe-chamfering-tool-75mm-160mm?variant=50386978341193,FT550510,,£664.79,FT550510
https://www.pipekit.co.uk/products/friaphon-92-5-deg-corner-branch-2-boss-access-upstands-110mm?variant=50386979258697,FP123101,,£270.07,FP123101
https://www.pipekit.co.uk/products/durapipe-friaphon-45-degree-double-branch-110-110mm?variant=50386979029321,FP122248,,£79.69,FP122248
https://www.pipekit.co.uk/products/durapipe-spare-cutter-wheel-50mm-125mm?variant=50386977554761,FT800004,,£34.09,FT800004
https://www.pipekit.co.uk/products/durapipe-abs-superflo-45-degree-bend-140mm?variant=50386976735561,11310316,,£809.47,11310316
https://www.pipekit.co.uk/products/friaphon-92-5-degree-double-branch-four-boss-110-110mm?variant=50386979127625,FP123001,,£131.50,FP123001
https://www.pipekit.co.uk/products/durapipe-corzan-solvent-cement-500ml?variant=50386977292617,38462395,,£60.05,38462395
https://www.pipekit.co.uk/products/friaphon-92-5-deg-single-branch-twp-boss-unequal-160-110mm?variant=50386978931017,FP122803,,£140.87,FP122803
https://www.pipekit.co.uk/products/durapipe-friaphon-lubricant-125g?variant=50386979946825,FP122970,,£8.15,FP122970
https://www.pipekit.co.uk/products/durapipe-friaphon-screwed-access-cap-110mm?variant=50386979750217,FP124201,,£32.54,FP124201
https://www.pipekit.co.uk/products/durapipe-friaphon-boss-adaptor-solvent-joint-50mm?variant=50386979881289,FP124101,,£6.79,FP124101
https://www.pipekit.co.uk/products/durapipe-friaphon-socket-plug-110mm?variant=50386979684681,FP122540,,£13.50,FP122540
https://www.pipekit.co.uk/products/durapipe-friaphon-92-5-degree-single-branch-five-boss-110mm?variant=50386978505033,FP122601,,£70.87,FP122601
https://www.pipekit.co.uk/products/durapipe-friaphon-access-boss-pipe-110mm?variant=50386979389769,FP123201,,£71.58,FP123201
https://www.pipekit.co.uk/products/plx-ef-slip-closure-125-160mm?variant=50386980864329,43278476,,£155.29,43278476
https://www.pipekit.co.uk/products/durapipe-hta-chamfering-tool-up-to-50mm?variant=50386980438345,GCONE50U,,£62.46,GCONE50U
https://www.pipekit.co.uk/products/plx-ef-slip-closure-50-63mm?variant=50386980569417,43278444,,£48.52,43278444
https://www.pipekit.co.uk/products/plx-ef-slip-closure-90-110mm?variant=50386980766025,43278473,,£115.51,43278473
https://www.pipekit.co.uk/products/plx-s-c-ef-90-elbow-90-160mm?variant=50386980471113,43248313,,£365,43248313
https://www.pipekit.co.uk/products/durapipe-friaphon-67-degree-bend-110mm?variant=50386978406729,FP122022,,£24.54,FP122022
https://www.pipekit.co.uk/products/durapipe-friaphon-waste-manifold-110mm?variant=50386979553609,FP124301,,£68.02,FP124301
https://www.pipekit.co.uk/products/durapipe-pvc-u-nipple-plain-threaded-2-1-2-inch?variant=50386983420233,2316108,,£49.42,2316108
https://www.pipekit.co.uk/products/guardian-pvc-u-vkd-valve-fpm-1-2-2-inch?variant=50386983715145,08DKF102,,£781.61,08DKF102
https://www.pipekit.co.uk/products/guardian-pvc-u-pipe-class-d-6-metre-8-x-12-inch?variant=50386983551305,8513113,,£990.31,8513113
https://www.pipekit.co.uk/products/durapipe-pvc-u-backing-ring-pre-drilled-400mm?variant=50386983944521,33180325,,"£1,087.82",33180325
https://www.pipekit.co.uk/products/plx-s-c-hockey-stick-32-40mm?variant=50386982666569,43338308,,£342.23,43338308
https://www.pipekit.co.uk/products/guardian-pvc-u-vkd-valve-epdm-1-2-2-inch?variant=50386983649609,08DKE102,,£781.61,08DKE102
https://www.pipekit.co.uk/products/durapipe-hta-cleaner-1l?variant=50386980077897,GD171P,,£32.82,GD171P
https://www.pipekit.co.uk/products/vulcathene-92-1-2-deg-reducing-sweep-tee-51mm-x-38mm?variant=50386984730953,V1020211,,£31.92,V1020211
https://www.pipekit.co.uk/products/durapipe-friaphon-92-5-degree-single-branch-160mm?variant=50386978636105,FP122703,,£169.82,FP122703
https://www.pipekit.co.uk/products/vulcathene-spanner-51mm?variant=50386985091401,V1036201,,£27.78,V1036201
https://www.pipekit.co.uk/products/vulcathene-spanner-76mm?variant=50386985124169,V1036301,,£46.62,V1036301
https://www.pipekit.co.uk/products/vulcathene-spanner-38mm?variant=50386985025865,V1036101,,£22.18,V1036101
https://www.pipekit.co.uk/products/vulcathene-claytrap?variant=50386985845065,V1091501,,£778.80,V1091501
https://www.pipekit.co.uk/products/vulcathene-anti-siphon-bottle-trap-38mm?variant=50386985255241,V1056101,,£64.54,V1056101
https://www.pipekit.co.uk/products/vulcathene-dilution-recovery-trap-2-3-litre-38mm?variant=50386985615689,V1068101,,£135.17,V1068101
https://www.pipekit.co.uk/products/vulcathene-additional-dip-tube-for-w612?variant=50386985713993,V1091201,,£30.55,V1091201
https://www.pipekit.co.uk/products/vulcathene-dilution-recovery-trap-4-5-litre?variant=50386985517385,V1061201,,£461.86,V1061201
https://www.pipekit.co.uk/products/vulcathene-polyfusion-welding-tools-38mm?variant=50386986336585,V440010,,£85.21,V440010
https://www.pipekit.co.uk/products/vulcathene-air-admittance-valve-102mm?variant=50386986467657,V466040,,£104.53,V466040
https://www.pipekit.co.uk/products/vulcathene-anti-siphon-unit-51mm?variant=50386986959177,V467020,,£21.98,V467020
https://www.pipekit.co.uk/products/vulcathene-anti-siphon-bottle-trap-glass-base-38mm?variant=50386985419081,V1057101,,£139.85,V1057101
https://www.pipekit.co.uk/products/vulcathene-90-degree-corner-branch-102mm-x-51mm?variant=50386985976137,V1094201,,£199.63,V1094201
https://www.pipekit.co.uk/products/vulcathene-floor-gully-4-5-litre?variant=50386986008905,V1810100,,£747.20,V1810100
https://www.pipekit.co.uk/products/vulcathene-910g-dilution-recovery-trap-glass-base-lid-4-5l?variant=50386986139977,V1910001,,£513.41,V1910001
https://www.pipekit.co.uk/products/vulcathene-trough-403mm-x-190mm?variant=50386986238281,V260510,,£125.27,V260510
https://www.pipekit.co.uk/products/vulcathene-spanner-102mm?variant=50386985189705,V1036401,,£60.53,V1036401
https://www.pipekit.co.uk/products/vulcathene-bsp-couplers-polyfusion-38mm-x-32mm?variant=50386988106057,V5758101,,£15.61,V5758101
https://www.pipekit.co.uk/products/vulcathene-black-small-circular-drip-cup-102mmdia?variant=50386987974985,V5501001,,£37.64,V5501001
https://www.pipekit.co.uk/products/vulcathene-lubricant-200g?variant=50386988204361,V5900002,,£8.52,V5900002
https://www.pipekit.co.uk/products/vulcathene-black-large-circular-drip-cup-168mmdia?variant=50386987843913,V5500001,,£45.82,V5500001
https://www.pipekit.co.uk/products/vulcathene-small-oval-drip-cup-175mm-x-102mm?variant=50386987745609,V5497001,,£55.72,V5497001
https://www.pipekit.co.uk/products/vulcathene-half-couplers-polyfusion-38mm?variant=50386987549001,V5130101,,£8.63,V5130101
https://www.pipekit.co.uk/products/vulcathene-unicollar-fire-protection-2250mm-strip-length?variant=50386987483465,V468100,,£186.42,V468100
https://www.pipekit.co.uk/products/vulcathene-blanking-off-plug-for-910g?variant=50386988269897,V5912001,,£21.23,V5912001
https://www.pipekit.co.uk/products/vulcathene-dilution-recovery-trap-glass-base-2-3l-38mm?variant=50386985681225,V1069101,,£333.17,V1069101
https://www.pipekit.co.uk/products/artc21v-control-actuator-for-picv-art-dn15-51-24vac-3-pnt?variant=50387061145929,ADPI20C21VN,,£83.64,ADPI20C21VN
https://www.pipekit.co.uk/products/art1567-angle-rad-valve-pack?variant=50386991612233,ARAD1567050,,£29.54,ARAD1567050
https://www.pipekit.co.uk/products/vulcathene-enfusion-hand-held-electrofusion-unit-110v-uk?variant=50386988597577,V6ECU001,,"£3,256.82",V6ECU001
https://www.pipekit.co.uk/products/art1597-thermostatic-head-liquid-sensor-conn-white-m30x1-5?variant=50386990858569,ARAD1597TH,,£29.54,ARAD1597TH
https://www.pipekit.co.uk/products/artc21vl-control-actuator-for-picv-art-dn15-50-24vac-3-pnt?variant=50387060982089,ADPI20C21VLC,,£421.24,ADPI20C21VLC
https://www.pipekit.co.uk/products/vulcathene-loose-nut-sockets-short-sweep-bend-38mm?variant=50386988433737,V6029111,,£35.83,V6029111
https://www.pipekit.co.uk/products/albion-put-timer?variant=50387059474761,ASLSTIMERPUT,,£40.62,ASLSTIMERPUT
https://www.pipekit.co.uk/products/artc22v-control-actuator-for-picv-art-dn15-53-230vac-3-pnt?variant=50387061440841,ADPI20C22VN,,£83.64,ADPI20C22VN
https://www.pipekit.co.uk/products/artc23e-control-actuator-for-picv-art-dn15-55-24vac-0-10v?variant=50387061702985,ADPI20C23EN,,£93.56,ADPI20C23EN
https://www.pipekit.co.uk/products/artc22vl-control-actuator-for-picv-art-dn15-52-230vac-3-pnt?variant=50387061309769,ADPI20C22VLC,,£421.24,ADPI20C22VLC
https://www.pipekit.co.uk/products/artc23el-control-actuator-for-picv-art-dn15-54-24vac-0-10v?variant=50387061571913,ADPI20C23ELC,,£518.45,ADPI20C23ELC
https://www.pipekit.co.uk/products/gf-cool-fit-2-0-pre-insulated-equal-tee-d140-d200?variant=50387064488265,738204116,,£249,738204116
https://www.pipekit.co.uk/products/art241kit-copper-impulse-tube-for-dpcvs-art-240-art-241?variant=50387062423881,ADPC241KIT,,£34.03,ADPC241KIT
https://www.pipekit.co.uk/products/artak21-crv-cre-adpt-kit-suits-dn15-50-vlv-iso-f03-f04-f05?variant=50387063865673,ADCVAK21,,£8.77,ADCVAK21
https://www.pipekit.co.uk/products/artcrv-control-actuator-for-crm-15-50-crv-24vac-3-point?variant=50387063537993,ADCVCRV24,,£104.04,ADCVCRV24
https://www.pipekit.co.uk/products/gf-cool-fit-2-0-pre-insulated-45-elbow-d140-d200?variant=50387064389961,738154116,,£236.23,738154116
https://www.pipekit.co.uk/products/artcre-control-actuator-for-crm-15-50-cre-24vac-mod-0-10v?variant=50387063701833,ADCVCRE24,,£122.26,ADCVCRE24
https://www.pipekit.co.uk/products/artak41-crv-cre-adpt-kit-suits-dn15-50-various-valves?variant=50387063800137,ADCVAK41,,£16.01,ADCVAK41
https://www.pipekit.co.uk/products/vulcathene-glass-dip-tubes-for-910g?variant=50386988400969,V5913001,,£59.11,V5913001
https://www.pipekit.co.uk/products/gf-cool-fit-2-0-pre-insulated-90-elbow-d140-d200?variant=50387063963977,738104116,,£230.86,738104116
https://www.pipekit.co.uk/products/gf-abs-ball-valve-546-epdm-with-mounting-insert-32mm?variant=50387072254281,169546064,,£153.36,169546064
https://www.pipekit.co.uk/products/gf-abs-ball-valve-546-epdm-with-mounting-insert-63mm?variant=50387072450889,169546067,,£322.97,169546067
https://www.pipekit.co.uk/products/gf-abs-ball-valve-546-epdm-with-mounting-insert-40mm?variant=50387072287049,169546065,,£195.89,169546065
https://www.pipekit.co.uk/products/gf-cool-fit-2-0-reducing-tee-d90-d140-x-d1-75-d1-125?variant=50387064717641,738204223,,£368.66,738204223
https://www.pipekit.co.uk/products/gf-abs-ball-valve-546-epdm-with-mounting-insert-25mm?variant=50387072123209,169546063,,£128.42,169546063
https://www.pipekit.co.uk/products/gf-abs-diaphragm-valve-515-epdm-20mm?variant=50387072942409,169515012,,£152.17,169515012
https://www.pipekit.co.uk/products/gf-abs-ball-valve-546-epdm-with-mounting-insert-16mm?variant=50387071893833,169546061,,£103.97,169546061
https://www.pipekit.co.uk/products/gf-abs-ball-valve-546-epdm-with-lockable-handle-110mm?variant=50387072844105,169546090,,"£1,277.60",169546090
https://www.pipekit.co.uk/products/gf-abs-ball-valve-546-epdm-with-mounting-insert-90mm?variant=50387072713033,169546069,,£854.50,169546069
https://www.pipekit.co.uk/products/gf-abs-ball-valve-546-epdm-with-mounting-insert-20mm?variant=50387072057673,169546062,,£108,169546062
https://www.pipekit.co.uk/products/gf-abs-ball-valve-546-epdm-with-mounting-insert-110mm?variant=50387072778569,169546070,,"£1,179.14",169546070
https://www.pipekit.co.uk/products/gf-abs-diaphragm-valve-515-ptfe-20mm?variant=50387073630537,169515032,,£310.63,169515032
https://www.pipekit.co.uk/products/gf-abs-ball-valve-546-epdm-with-mounting-insert-50mm?variant=50387072352585,169546066,,£253.99,169546066
https://www.pipekit.co.uk/products/gf-abs-diaphragm-valve-515-ptfe-25mm?variant=50387073990985,169515033,,£347.51,169515033
https://www.pipekit.co.uk/products/gf-abs-diaphragm-valve-515-epdm-50mm?variant=50387073368393,169515016,,£366.91,169515016
https://www.pipekit.co.uk/products/gf-abs-diaphragm-valve-515-epdm-63mm?variant=50387073466697,169515017,,£446.48,169515017
https://www.pipekit.co.uk/products/gf-abs-diaphragm-valve-515-epdm-40mm?variant=50387073237321,169515015,,£273.72,169515015
https://www.pipekit.co.uk/products/gf-abs-diaphragm-valve-515-ptfe-40mm?variant=50387074220361,169515035,,£531.88,169515035
https://www.pipekit.co.uk/products/gf-abs-diaphragm-valve-515-ptfe-32mm?variant=50387074122057,169515034,,£434.81,169515034
https://www.pipekit.co.uk/products/gf-abs-diaphragm-valve-515-ptfe-63mm?variant=50387074351433,169515037,,£854.11,169515037
https://www.pipekit.co.uk/products/gf-abs-diaphragm-valve-515-epdm-25mm?variant=50387073007945,169515013,,£180.97,169515013
https://www.pipekit.co.uk/products/gf-abs-diaphragm-valve-515-ptfe-50mm?variant=50387074318665,169515036,,£694.92,169515036
https://www.pipekit.co.uk/products/gf-abs-diaphragm-valve-515-epdm-32mm?variant=50387073139017,169515014,,£227.14,169515014
https://www.pipekit.co.uk/products/gf-progef-standard-o-ring-epdm-110mm?variant=50387083198793,748410016,,£14.12,748410016
https://www.pipekit.co.uk/products/mapress-stainless-steel-adpt-to-cutting-ring-connection-gas-15mm?variant=50387244220745,34355,,£12.25,34355
https://www.pipekit.co.uk/products/gf-progef-standard-o-ring-fpm-32mm?variant=50387083526473,749410008,,£12.30,749410008
https://www.pipekit.co.uk/products/mapress-copper-flange-pn-10-16-w-press-socket-gas-28mm?variant=50387240649033,34715,,£390.58,34715
https://www.pipekit.co.uk/products/gf-pvc-u-flange-adaptor?variant=50636371394889,721801113,"3""",£40.14,721801113
https://www.pipekit.co.uk/products/gf-pvc-u-tube-clear-5m-l-np6-50mm?variant=50387219513673,192017060,,£216.48,192017060
https://www.pipekit.co.uk/products/gf-pvc-u-flange-adaptor?variant=50636371427657,721801113,"6""",£135.95,721801117
https://www.pipekit.co.uk/products/gf-progef-standard-o-ring-fpm-20mm?variant=50387083329865,749410006,,£8.26,749410006
https://www.pipekit.co.uk/products/geberit-bending-tool-hydraulic-in-case-d16-20-26-32mm?variant=50387244810569,690.412.00.3,,£500.62,690.412.00.3
https://www.pipekit.co.uk/products/geberit-mepla-deburring-tool-d-63-75mm?variant=50387244581193,690.214.00.1,,£20.04,690.214.00.1
https://www.pipekit.co.uk/products/mapress-stainless-steel-flg-pn-10-16-w-plain-end-gas-28mm?variant=50387244384585,34212,,£70.43,34212
https://www.pipekit.co.uk/products/mapress-insertion-distance-template-w-marker-pen-d12-108mm?variant=50387245334857,90351,,£6.32,90351
https://www.pipekit.co.uk/products/geberit-hand-operated-pressing-tool-mfp-2-2?variant=50387245924681,90523,,"£1,239.82",90523
https://www.pipekit.co.uk/products/gf-progef-standard-o-ring-fpm-40mm?variant=50387083624777,749410009,,£19.85,749410009
https://www.pipekit.co.uk/products/case-for-geberit-pressing-jaws-2-3?variant=50387245793609,691.137.00.1,,£103.24,691.137.00.1
https://www.pipekit.co.uk/products/gf-cpvc-bend-90-short-pattern-225mm?variant=50387246416201,723010120,,£971.22,723010120
https://www.pipekit.co.uk/products/gf-o-ring-for-pp-upvc-flange-adapt-fpm-20mm?variant=50387262832969,749413001,,£26.82,749413001
https://www.pipekit.co.uk/products/gf-o-ring-epdm-120-02x6-99-110mm?variant=50387262603593,748413016,,£22.32,748413016
https://www.pipekit.co.uk/products/geberit-mepla-powertest?variant=50387244941641,690.493.00.1,,£3.83,690.493.00.1
https://www.pipekit.co.uk/products/gf-sygef-standard-diaph-valve-317-ptfe-75dn65mm-asa150mm?variant=50387270664521,175317538,,"£2,075.29",175317538
https://www.pipekit.co.uk/products/mapress-stripping-tool-d35-42-54mm?variant=50387245105481,90376,,£54.64,90376
https://www.pipekit.co.uk/products/gf-signet-chlorine-dioxide-analyser-0-2ppm-w-o-ph-sensor?variant=50387270828361,159001768,,"£8,220.08",159001768
https://www.pipekit.co.uk/products/gf-signet-chlorine-dioxide-analyser-0-2ppm-w-ph-sensor?variant=50387270992201,159001769,,"£9,316.09",159001769
https://www.pipekit.co.uk/products/mapress-assembly-clamp-mh-1-d54-108mm?variant=50387245629769,90563,,£360.20,90563
